77.1,1,80
85,2,85
77.7,175,90
72.43,1,95
71,24,100
62.61,1,105
47.72,50,110
55.15,60,115
51.93,10,120
45.68,4,125
41.92,36,130
37.3,2,135
33.4,24,140
28.95,45,145
24.25,255,150
20.49,221,155
17.05,517,160
13.84,416,165
11,"1,590",170
8.6,"1,033",175
6.5,979,180
4.8,"1,072",185
3.48,451,190
2.55,571,195
1.8,591,200
1.29,318,205
0.94,330,210
0.68,40,215
0.51,59,220
0.38,75,225
0.32,295,230
0.26,29,235
0.2,4,240
0.18,6,245
0.15,25,250
0.12,1,255
0.12,32,260
0.08,1,265
0.07,10,270
0.07,10,275
0.06,1,280
0.05,4,285
0.06,16,290
0.07,1,295
0.04,1,300
0.03,75,310
0.01,2,320
0.03,60,330
0.03,116,340
